domain,bookmark_count
data.cityofnewyork.us,12
www.jstor.org,10
github.com,8
mitpress.mit.edu,8
direct.mit.edu,8
archive.org,7
www.youtube.com,6
www.routledge.com,6
onlinelibrary.wiley.com,6
en.wikipedia.org,5
vimeo.com,5
www.upress.umn.edu,5
senseable.mit.edu,4
www.aaronkoblin.com,3
www.aestheticsofexclusion.com,3
www.lexiconofdesignresearch.com,3
www.iaacblog.com,3
www.wilsonquarterly.com,3
press.princeton.edu,3
www.google.be,3
www.sciencedirect.com,3
learn.adafruit.com,2
www.nyc.gov,2
nyc.maps.arcgis.com,2
responsiblesensinglab.org,2
www.creativeapplications.net,2
nearfuturelaboratory.com,2
www.youandpea.com,2
www.cabinetmagazine.org,2
www.archdaily.com,2
www.joostgrootens.nl,2
cd-labor.de,2
stamen.com,2
www.dwbowen.com,2
www.smoutallen.com,2
www.thinkarchitecture.net,2
www.mathurdacunha.com,2
www.fictional-journal.com,2
www.exparch.at,2
cardiffmiller.com,2
bigbangdata.cccb.org,2
julianoliver.com,2
crew.brussels,2
www.blasttheory.co.uk,2
newart.city,2
abelardogfournier.org,2
www.jennyodell.com,2
thefunambulist.net,2
waag.org,2
www.google.com,2
dzieje.pl,2
failedarchitecture.com,2
freedomhouse.org,2
leonardo.info,2
www.deslegte.com,2
amps-research.com,2
acme-journal.org,2
www.aag.org,2
link.springer.com,2
interstices.ac.nz,2
press.uchicago.edu,2
actar.com,2
www.versobooks.com,2
www.wiley.com,2
www.nai010.com,2
print.odisee.be,1
set.kuleuven.be,1
www.kuleuven.be,1
awa.schrijfhulp.be,1
drive.google.com,1
www.acsa-arch.org,1
www.atelierromain.com,1
www.urbanplatform.com,1
urbain-ac.be,1
svs.gsfc.nasa.gov,1
svd360.com,1
geojson.io,1
runwayml.com,1
docs.circuitpython.org,1
antiboredom.github.io,1
freevectormaps.com,1
planetpixelemporium.com,1
www.gettyimages.co.uk,1
tsdem.gitlab.io,1
www.technologyreview.com,1
docs.google.com,1
www.wolframalpha.com,1
zola.planning.nyc.gov,1
blender.stackexchange.com,1
app.diagrams.net,1
portal.opentopography.org,1
aistudio.google.com,1
bellingcat.gitbook.io,1
takeout.google.com,1
gitlab.com,1
heremaps.github.io,1
docs.python.org,1
monitor.eduroam.org,1
grabcad.com,1
www.datacentermap.com,1
dgtlinfra.com,1
www.datacenters.com,1
dataxconnect.com,1
www.opencellid.org,1
geoxc-apps.bd.esri.com,1
datastories.maynoothuniversity.ie,1
dktaylor916.github.io,1
www.gdeltproject.org,1
www.wired.com,1
anatomyof.ai,1
www.bestiario.org,1
www.measurementlab.net,1
therefugeeproject.org,1
flowingdata.com,1
deck.gl,1
www.fallen.io,1
schweizerweltatlas.ch,1
www.antoinedelach.com,1
theyrule.net,1
appliedinformation.group,1
labs.rs,1
extractivism.online,1
this-person-does-not-exist.com,1
picturesofinfinity.net,1
exonemo.com,1
varcity.ethz.ch,1
field-works.net,1
www.mapillary.com,1
safecast.org,1
avs.auto,1
fhp.incom.org,1
aaron-meyers.com,1
citizensense.net,1
docs.smartcitizen.me,1
shaowenbardzell.com,1
www.landskip.ch,1
www.computationalarchitecturelab.org,1
unit-21.com,1
www.instagram.com,1
gifcritique.wixsite.com,1
bureau-spectacular.net,1
www.alephograph.com,1
www.reuters.com,1
www.punctr.art,1
www.raisethecloud.org,1
extractivismos.galeriareplica.cl,1
trafficcollective.com,1
www.urbantactics.org,1
dmjn.net,1
lifeforms.io,1
worldmaking.xyz,1
medium.com,1
bplus.xyz,1
numen.eu,1
www.lydiajessup.me,1
www.ultramoderne.net,1
hortence.com,1
mkca.com,1
futurearchitectureplatform.org,1
forensic-architecture.org,1
situ.nyc,1
carlijnkingma.com,1
www.cristianotoraldodifrancia.it,1
scanlabprojects.co.uk,1
sketchfab.com,1
normalfutu.re,1
cargocollective.com,1
www.rsarchitecture-studio.com,1
worldarchitecture.org,1
issuu.com,1
www.sharedcities.eu,1
wordsinspace.net,1
beyondresolution.info,1
www.artforum.com,1
starts-prize.aec.at,1
criticalengineering.org,1
teaching.ellenmueller.com,1
